asset_id,subject_id,asset_type,priority,source_prompt_path,reference_asset_ids,source_lock_ids,unity_import_path,size,status,consistency_notes
thecat_style_bedroomdream_anchor_1920x1080_v001,bedroom_dream,background,P0,design/development/prompts/p0_style_anchors.md,,,Assets/TheCat/Art/_GeneratedReferences/thecat_style_bedroomdream_anchor_1920x1080_v001.png,1920x1080,generated,Style anchor for bedroom dream mood and lighting
thecat_bg_bedroomdream_battle_1920x1080_v001,bedroom_dream_battle,background,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_bedroomdream_anchor_1920x1080_v001,bedroom_map_concept,Assets/TheCat/Art/Scenes/BedroomDream/thecat_bg_bedroomdream_battle_1920x1080_v001.png,1920x1080,generated,Source-derived Bedroom Dream battle background hard reference for battle-world visual screenshot composition
thecat_style_startercats_lineup_2048_v001,starter_cats,concept,P0,design/development/prompts/p0_style_anchors.md,,,Assets/TheCat/Art/_GeneratedReferences/thecat_style_startercats_lineup_2048_v001.png,2048x2048,generated,Saiban Nephthys Suzune non-humanoid lineup
thecat_style_blackmud_concept_2048_v001,black_mud_nightmare,concept,P0,design/development/prompts/p0_style_anchors.md,,,Assets/TheCat/Art/_GeneratedReferences/thecat_style_blackmud_concept_2048_v001.png,2048x2048,generated,Black mud monster language anchor
thecat_style_status_icons_5x64_v001,p0_status_tags,icon,P0,design/development/prompts/p0_style_anchors.md,,,Assets/TheCat/Art/_GeneratedReferences/thecat_style_status_icons_5x64_v001.png,5 icons 64x64,generated,Sleep stable slow knockback mark shield icon style sample
thecat_cat_saiban_combat_sprite_512_v001,saiban,sprite,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_startercats_lineup_2048_v001,saiban_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,512x512,generated,Extracted from saiban colored turnaround hard reference front view
thecat_cat_nephthys_combat_sprite_512_v001,nephthys,sprite,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_startercats_lineup_2048_v001,nephthys_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,512x512,generated,Extracted from nephthys colored turnaround hard reference front view
thecat_cat_suzune_combat_sprite_512_v001,suzune,sprite,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_startercats_lineup_2048_v001,suzune_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_suzune_combat_sprite_512_v001.png,512x512,generated,Extracted from suzune colored turnaround hard reference front view
thecat_enemy_blackmud_combat_sprite_512_v001,black_mud_nightmare,sprite,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_blackmud_concept_2048_v001,black_mud_concept,Assets/TheCat/Art/Enemies/Sprites/thecat_enemy_blackmud_combat_sprite_512_v001.png,512x512,generated,Extracted from Black Mud source concept hard reference; animation source remains locked for later frame sheet work
thecat_enemy_coldlight_combat_sprite_512_v001,cold_light_shadow,sprite,P0,design/development/prompts/p0_gameplay_placeholders.md,thecat_style_blackmud_concept_2048_v001,cold_light_concept,Assets/TheCat/Art/Enemies/Sprites/thecat_enemy_coldlight_combat_sprite_512_v001.png,512x512,generated,Extracted from Cold Light source concept hard reference; black mud anchor is only the shared monster-language reference; animation source remains locked for later frame sheet work
