asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status,review_decision,unity_gate,agent_notes,pivot_hint,sorting_layer_hint,collider_policy
thecat_map_cat_room_warm_wood_floor_tile_patch_batch93,warm_wood_floor_tile_patch,warm wooden floor tile patch,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_warm_wood_floor_tile_patch_batch93_candidate_v001.png,397,286,"(0, 255)",x52-423_y72-314,1ae6760bfe2a29b1d3f667e0990db2bfd373b9d0b9a7ef6a239256174098fffb,ok,candidate_keep,candidate_import_scene_scale_test,"scale so it reads as floor patch, not raised platform",center,floor_decal,none
thecat_map_cat_room_soft_oval_prop_shadow_decal_batch93,soft_oval_prop_shadow_decal,soft oval prop-shadow decal,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_soft_oval_prop_shadow_decal_batch93_candidate_v001.png,348,136,"(0, 35)",x451-800_y72-314,da53aeaa73389f2e5369e26ad509f8fe50ba4ee328e291ac4da10a081ce4be01,ok,candidate_keep,light_dark_floor_visibility_test,alpha max 35; verify visible on target floor,center,floor_shadow_decal,none
thecat_map_cat_room_rose_rug_edge_strip_batch93,rose_rug_edge_strip,rose rug edge strip,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_rose_rug_edge_strip_batch93_candidate_v001.png,402,197,"(0, 255)",x849-1207_y72-314,7d639426c8b9a619d61e93780d667e5688bc05526d9fec09de53c7117e4289a2,ok,candidate_keep,rug_edge_only_not_ui_frame,decorative rug edge; do not reuse as UI border,bottom-center,floor_trim,none
thecat_map_cat_room_teal_cushion_placement_shadow_pad_batch93,teal_cushion_placement_shadow_pad,teal cushion-placement shadow pad,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_teal_cushion_placement_shadow_pad_batch93_candidate_v001.png,379,214,"(0, 255)",x52-423_y430-600,ce382d1c62224bd38f15b97e1b7111a6b9f014d8d4e5897ab9462079d02170e1,ok,candidate_reclassify,floor_mat_or_cushion_pad_scale_test,"reads as floor mat/cushion pad, not generic placement shadow",center,floor_decal,none
thecat_map_cat_room_cream_wall_baseboard_straight_batch93,cream_wall_baseboard_straight,cream wall baseboard straight segment,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_cream_wall_baseboard_straight_batch93_candidate_v001.png,393,144,"(0, 255)",x451-800_y430-600,cfd583fecb7ebebf40fb16f0c4135476ffe3de36721d8eb9808b92530c5c84a1,ok,candidate_keep,baseboard_wall_alignment_test,straight wall baseboard segment,bottom-center,wall_trim,none
thecat_map_cat_room_cream_wall_baseboard_corner_batch93,cream_wall_baseboard_corner,cream wall baseboard corner segment,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_cream_wall_baseboard_corner_batch93_candidate_v001.png,395,193,"(0, 255)",x849-1207_y430-600,871a9b34f5354ab62f793063e57597e634982bde4dd3974d58646d4cff21e1e8,ok,candidate_keep,corner_alignment_test,pairs with baseboard straight segment,custom-inner-corner,wall_trim,none
thecat_map_cat_room_tiny_paw_print_floor_scuff_batch93,tiny_paw_print_floor_scuff,tiny paw-print floor scuff decal,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_tiny_paw_print_floor_scuff_batch93_candidate_v001.png,277,166,"(0, 255)",x52-423_y672-882,b69d9724460c880f255186a4205b8ea7c8c0a3c23625bf0b598820bcdb467a49,ok,candidate_keep,floor_opacity_test_no_collider,multi-component paw scuff; reduce opacity if too heavy,center,floor_decal,none
thecat_map_cat_room_moonlit_window_light_floor_patch_batch93,moonlit_window_light_floor_patch,moonlit window-light patch on floor,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_moonlit_window_light_floor_patch_batch93_candidate_v001.png,351,254,"(0, 255)",x451-800_y672-882,cc41b50c4d8ae2c5b58eb0e2b219e1e388e28c64d920b61d74f2ac41ec224409,ok,candidate_conditional,light_decal_scene_readability_test,use as focal floor light only; avoid large-area overlay,center,light_decal,none
thecat_map_cat_room_small_dream_crack_ground_decal_batch93,small_dream_crack_ground_decal,small dream-crack ground decal,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_small_dream_crack_ground_decal_batch93_candidate_v001.png,402,235,"(0, 255)",x849-1207_y672-882,2f01947134af13e89e4f465b221dc07be69b6f3b9980b70dc03c3f7b70194463,ok,candidate_keep,event_feedback_only_floor_contrast_test,strong dream crack; avoid permanent decoration if too dominant,center,event_decal,none
thecat_map_cat_room_threshold_mat_doorstep_trim_batch93,threshold_mat_doorstep_trim,threshold mat/doorstep trim,batch_93_cat_room_map_decals_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/map/cat_room_decals/batch_93_cat_room_map_decals_imagegen_2026-06-25/semantic_sprites/thecat_map_cat_room_threshold_mat_doorstep_trim_batch93_candidate_v001.png,415,212,"(0, 255)",x52-423_y962-1180,447bf0343c4a2bf43b500644e0f6f54c4d31dabb73d82f8920ce7b560b30b72c,ok,candidate_reclassify,doorway_only_threshold_test,"doorway/threshold prop, not generic trim or UI frame",bottom-center,doorway_trim,none
