asset_id,frame_index,visual_verdict,production_verdict,review_decision,notes
thecat_map_cat_room_dream_portal_animation_frame_01_batch94_candidate_v004,1,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_02_batch94_candidate_v004,2,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_03_batch94_candidate_v004,3,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_04_batch94_candidate_v004,4,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_05_batch94_candidate_v004,5,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_06_batch94_candidate_v004,6,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_07_batch94_candidate_v004,7,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_08_batch94_candidate_v004,8,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_09_batch94_candidate_v004,9,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_10_batch94_candidate_v004,10,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_11_batch94_candidate_v004,11,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
thecat_map_cat_room_dream_portal_animation_frame_12_batch94_candidate_v004,12,PASS_WITH_P2_v003_P1_closed,PASS_WITH_P2_v004,candidate_keep_pending_unity_loop_review,Stable Batch91 shell; inner glow/mist/star loop only; no character/body art; no key-color residue; import-facing dirs contain v004 only; Unity loop/scale/sorting review remains required.
