id,file,width,height,source_sheet,notes
cat_room_prop_01,sprites/thecat_map_cat_room_elements_batch91_prop_01_candidate_v001.png,552,437,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_02,sprites/thecat_map_cat_room_elements_batch91_prop_02_candidate_v001.png,494,397,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_03,sprites/thecat_map_cat_room_elements_batch91_prop_03_candidate_v001.png,387,240,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_04,sprites/thecat_map_cat_room_elements_batch91_prop_04_candidate_v001.png,491,538,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_05,sprites/thecat_map_cat_room_elements_batch91_prop_05_candidate_v001.png,432,291,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_06,sprites/thecat_map_cat_room_elements_batch91_prop_06_candidate_v001.png,212,195,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_07,sprites/thecat_map_cat_room_elements_batch91_prop_07_candidate_v001.png,214,195,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_08,sprites/thecat_map_cat_room_elements_batch91_prop_08_candidate_v001.png,217,196,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_09,sprites/thecat_map_cat_room_elements_batch91_prop_09_candidate_v001.png,212,199,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_10,sprites/thecat_map_cat_room_elements_batch91_prop_10_candidate_v001.png,230,193,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_11,sprites/thecat_map_cat_room_elements_batch91_prop_11_candidate_v001.png,255,207,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
cat_room_prop_12,sprites/thecat_map_cat_room_elements_batch91_prop_12_candidate_v001.png,231,170,source/thecat_map_cat_room_elements_batch91_alpha_sheet_v001.png,auto-cut from built-in imagegen chroma-key source; semantic name pending visual review
