asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status,review_decision,unity_gate,agent_notes
thecat_ui_cat_room_hover_soft_halo_frame_batch92,hover_soft_halo_frame,hover soft halo frame,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_hover_soft_halo_frame_batch92_candidate_v001.png,352,355,"(0, 255)",x75-391_y29-358,87425ff22e4e270fa590faec0723f17e336edddb2963489a838d05594c13f6d9,ok,candidate_keep,candidate_import_first_wave,visual keep; clean hover semantic
thecat_ui_cat_room_ready_available_ring_batch92,ready_available_ring,ready available ring,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_ready_available_ring_batch92_candidate_v001.png,317,337,"(0, 255)",x434-819_y29-358,926fe4dc7ef0252eea90e001b9a4dfc434251155f02fd553d352afc7b06e09cc,ok,candidate_conditional,scale_brightness_and_ring_semantics_watch,avoid confusion with selected/target rings
thecat_ui_cat_room_selected_active_ring_batch92,selected_active_ring,selected active ring,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_selected_active_ring_batch92_candidate_v001.png,345,365,"(0, 255)",x850-1159_y29-358,4b4889bff40a7aa52da656da20ec878e123fc9050547f015e1b46bb850e3b01f,ok,candidate_keep,candidate_import_first_wave,strong selected semantic
thecat_ui_cat_room_blocked_range_denied_frame_batch92,blocked_range_denied_frame,blocked/range denied frame,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_blocked_range_denied_frame_batch92_candidate_v001.png,330,330,"(0, 255)",x75-391_y364-681,e1ff0125d32626c7296f82e6cad29bae06433300823cc90ddbae57efd1d685f5,ok,candidate_keep,candidate_import_first_wave,blocked semantic clear; watch error-popup feel
thecat_ui_cat_room_restore_sleep_pulse_marker_batch92,restore_sleep_pulse_marker,restore/sleep pulse marker,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_restore_sleep_pulse_marker_batch92_candidate_v001.png,348,353,"(0, 255)",x434-819_y364-681,af16678b257acfbf001c1bac04f56d6689f08d10389338c9299366e185319b8b,ok,candidate_conditional,small_scale_only_or_light_rework,grey/stone feel; avoid large overlay
thecat_ui_cat_room_hunger_feeder_ready_marker_batch92,hunger_feeder_ready_marker,hunger/feeder ready marker,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_hunger_feeder_ready_marker_batch92_candidate_v001.png,310,306,"(0, 255)",x850-1159_y364-681,c577e735174129500b89619bffd6797bd89c17464244b720e7030e1bc0a5a961,ok,candidate_conditional,badge_or_card_scale_only,solid badge; not full-room overlay
thecat_ui_cat_room_litter_urgent_marker_batch92,litter_urgent_marker,litter urgent marker,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_litter_urgent_marker_batch92_candidate_v001.png,308,286,"(0, 255)",x75-391_y691-941,cf01b9e4f5768f7056603e6c30248167dd1df81355a1888f1ce155260cef4b48,ok,candidate_conditional,badge_or_card_scale_only,solid badge; confirm symbol semantics
thecat_ui_cat_room_dream_entry_confirm_button_frame_batch92,dream_entry_confirm_button_frame,dream-entry confirm button frame,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_dream_entry_confirm_button_frame_batch92_candidate_v001.png,421,285,"(0, 255)",x434-819_y691-941,c3392c121169951fbbc90987954db51217b805b13ef5b62f5b33c5ad0eaf0bfe,ok,candidate_keep,candidate_import_first_wave,textless button frame; leaves Unity text area
thecat_ui_cat_room_attention_sparkle_marker_batch92,attention_sparkle_marker,attention sparkle marker,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_attention_sparkle_marker_batch92_candidate_v001.png,238,198,"(0, 255)",x850-1159_y691-941,60b8a0a580467c73a298f9068f6c11479526a00fb9f76c47a7d57012cb779eaa,ok,candidate_conditional,short_vfx_or_small_marker_only,bright VFX; avoid persistent overlay
thecat_ui_cat_room_cooldown_overlay_frame_batch92,cooldown_overlay_frame,cooldown overlay frame,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_cooldown_overlay_frame_batch92_candidate_v001.png,306,292,"(0, 255)",x75-391_y958-1214,a63822692402daba9c320b325a82f1c4eb1c7192f504be9b2fa7591408d55a8c,rejected_p1_replaced_by_v003,reject_rework,do_not_import_v001,
thecat_ui_cat_room_home_room_locator_badge_batch92,home_room_locator_badge,home/room locator badge,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_home_room_locator_badge_batch92_candidate_v001.png,232,258,"(0, 255)",x434-819_y958-1214,3c5679788e7f933801dc76bc3883026bfce63d8479891abcfa24c2546fba4da0,ok,candidate_reclassify,map_marker_candidate_not_interaction_state,visual says locator/map badge
thecat_ui_cat_room_interaction_target_reticle_batch92,interaction_target_reticle,interaction target reticle,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_projection_split,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_interaction_target_reticle_batch92_candidate_v001.png,269,265,"(0, 255)",x850-1159_y958-1214,62bf8abf339967f17b6dd9fd4445c663897da9ed94e2ce58ca2f4e50f4fcf602,ok,candidate_conditional,ring_semantics_watch,clear reticle; avoid confusion with ready/selected rings
thecat_ui_cat_room_cooldown_overlay_frame_batch92_v002,cooldown_overlay_frame_v002,cooldown overlay frame v002,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_single_rework_v002,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_cooldown_overlay_frame_batch92_candidate_v002.png,882,898,"(0, 255)",single_asset_crop,d8babd854ac7e338eb08167528fca321cbeba2529553346a0ba94a9ab2902f1b,superseded_by_v003,superseded_backup,do_not_import_v002_unless_v003_fails,lighter than v001 but had inner dark scuffs
thecat_ui_cat_room_cooldown_overlay_frame_batch92_v003,cooldown_overlay_frame_v003,cooldown overlay frame v003,batch_92_cat_room_interaction_states_imagegen_2026-06-25,built_in_imagegen_chromakey_magenta_single_rework_v003,design/development/asset_candidates/ui/cat_room_interaction_states/batch_92_cat_room_interaction_states_imagegen_2026-06-25/semantic_sprites/thecat_ui_cat_room_cooldown_overlay_frame_batch92_candidate_v003.png,1073,1099,"(0, 255)",single_asset_crop,5adca3e0c6a29e059f4a738400b04e56cb3331a933ba5946bedacd9ad7907ec3,ok,candidate_conditional,candidate_import_first_wave_scale_test,P1 fix; center visible coverage 0.47%; outer ring only
