surface_id,surface_name,resolution_id,resolution,path,sha256,status,notes
main_menu_character_select,角色选择,compact_4_3,1024x768,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_main_menu_character_select_1024x768_local_scale_mockup_v001.png,41825830a9ea59a3f746a2fad1d6579411533f5b65c401034c733c4dbfa0aa91,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
main_menu_character_select,角色选择,baseline_16_9,1280x720,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_main_menu_character_select_1280x720_local_scale_mockup_v001.png,1e178b572185dadb1b6329af8c84c012ca59ba974f9f6fa489d83ee3a5ad0038,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
main_menu_character_select,角色选择,desktop_16_9,1600x900,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_main_menu_character_select_1600x900_local_scale_mockup_v001.png,5857bc71aa15e031dcb8460dcea5cf407a7e2f75c970270303a13360ae1af6e4,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
main_menu_character_select,角色选择,wide_1080p,1920x1080,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_main_menu_character_select_1920x1080_local_scale_mockup_v001.png,705fd045cbcbb1e3882b157cd284d151e2396d60c9d82981300afc15e929983b,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
route_map,梦层路线,compact_4_3,1024x768,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_route_map_1024x768_local_scale_mockup_v001.png,88444044295b00617b4533f0b7fdfcc90cee49f1d3e51597dab639f8778e42c8,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
route_map,梦层路线,baseline_16_9,1280x720,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_route_map_1280x720_local_scale_mockup_v001.png,56e792920ad0c01c3116b93ad91a02eb4bdf2fbc33d15c9c9d2b42f2a5cd8164,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
route_map,梦层路线,desktop_16_9,1600x900,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_route_map_1600x900_local_scale_mockup_v001.png,d142fb4600fb40cdd1fb140602577722a8c3bfc40e0d7e9d226ccb05543f6528,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
route_map,梦层路线,wide_1080p,1920x1080,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_route_map_1920x1080_local_scale_mockup_v001.png,fd5236cb16ad33b9706fdb331dbeccd419d7921a4a10be341039fd3f61f504dc,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
battle_hud,卧室守卫战,compact_4_3,1024x768,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_battle_hud_1024x768_local_scale_mockup_v001.png,01cf35b4a183e46dc1028f8460bb0d96732a1fcd6e9a9c934f3ac53620ffb9c1,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
battle_hud,卧室守卫战,baseline_16_9,1280x720,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_battle_hud_1280x720_local_scale_mockup_v001.png,6b49d22bbb24ef2ea2a80d885a798d9fb0c2b657babb05e6c83577cf7874e478,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
battle_hud,卧室守卫战,desktop_16_9,1600x900,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_battle_hud_1600x900_local_scale_mockup_v001.png,276872e52fc11a56d6499f342f59c74ad64e301c5974f70c15649f6c387c4fed,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
battle_hud,卧室守卫战,wide_1080p,1920x1080,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_battle_hud_1920x1080_local_scale_mockup_v001.png,6da9e95fd1ac4b04c9897c2dab66440e67e45f58fb96faae1c85889a7b92b1be,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
skill_enemy_hud,技能与敌人,compact_4_3,1024x768,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_skill_enemy_hud_1024x768_local_scale_mockup_v001.png,808f2bc9f4cb0ec9eeecf2e7fd57f272ec5afd4770249cb0a254f748113d0757,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
skill_enemy_hud,技能与敌人,baseline_16_9,1280x720,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_skill_enemy_hud_1280x720_local_scale_mockup_v001.png,e2d109859659d6841e7db63857d42008dcce3f38165988411685021917d4e288,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
skill_enemy_hud,技能与敌人,desktop_16_9,1600x900,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_skill_enemy_hud_1600x900_local_scale_mockup_v001.png,045a9b89bf01abb440c10bad9f946a1b967807c889d4bb3f356fbe9b55c930a0,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
skill_enemy_hud,技能与敌人,wide_1080p,1920x1080,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_skill_enemy_hud_1920x1080_local_scale_mockup_v001.png,d4456565bf2ed5570ee5fc43c3bc9685aed47136a9e7925b287ed506d574f51d,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
result_pause_settings,结算 / 暂停 / 设置,compact_4_3,1024x768,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_result_pause_settings_1024x768_local_scale_mockup_v001.png,8525b351864b6b49c7329ed90f274670edd22344e82dda4e8f7f6b4dd581ef78,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
result_pause_settings,结算 / 暂停 / 设置,baseline_16_9,1280x720,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_result_pause_settings_1280x720_local_scale_mockup_v001.png,bf2b3a1aad81743db4416c2647eef9649b8ce570679827235255c1d9a73bb72e,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
result_pause_settings,结算 / 暂停 / 设置,desktop_16_9,1600x900,design/development/asset_candidates/ui/chinese_ui_scale_evidence/batch_75_chinese_ui_scale_evidence_templates_2026-06-20/local_scale_mockups_v001/mockups/thecat_batch75_result_pause_settings_1600x900_local_scale_mockup_v001.png,b94fa49ebaa088d9f674140af1c1f8b672540fd4715842ecaaf71c198521c9e8,local_preflight_not_unity_screenshot,non_cat_ui_scale_mockup_uses_chinese_text_no_runtime_binding
