cat,skill,version,size_checks,state
saiban,shield_barrier,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
saiban,moon_sword_sweep,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
saiban,battle_flag_rally,v002,"64,32,dark_strip,light_strip",readability_board_pending_review
saiban,sun_charge_burst,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
saiban,shield_counter_impact,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
saiban,crown_judgment_sigil,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,obelisk_turret,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,quicksand_trap_spiral,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,blocking_pyramid_cube,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,obelisk_missile,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,sandstorm_swirl,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
nephthys,sand_tornado_column,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,bell_strike_ring,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,healing_bell_pulse,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,ice_talisman_guard,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,frost_moon_dance_swirl,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,torii_gate_ward,v001,"64,32,dark_strip,light_strip",readability_board_pending_review
suzune,team_heal_ice_enchant,v002,"64,32,dark_strip,light_strip",readability_board_pending_review
