"index","title","type","owner","updated","token","url","markdown","docxStatus","fetchStatus"
"1","《梦境支配者》P0 核心玩法详细规则与玩家模拟路径","DOCX","章航宁","2026-06-12T14:00:34+08:00","MDrSdEoaToB5cnxZgrOcAE34nof","https://lcnb6jdql7k2.feishu.cn/docx/MDrSdEoaToB5cnxZgrOcAE34nof","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\01 - 《梦境支配者》P0 核心玩法详细规则与玩家模拟路径.md","ok","ok"
"2","《梦境支配者》P0 最小版本设计文档","DOCX","Zehui Duan","2026-06-11T21:02:52+08:00","Qr1XdXd6KosnjMxjgW7cS89kn9c","https://lcnb6jdql7k2.feishu.cn/docx/Qr1XdXd6KosnjMxjgW7cS89kn9c#doxcnQutjG9RdKvFmYoaLXX4kfU","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\02 - 《梦境支配者》P0 最小版本设计文档.md","ok","ok"
"3","《梦境支配者》P0 过场动画脚本与分镜设计","DOCX","章航宁","2026-06-07T15:30:30+08:00","I6NLdULx7ozI8jxTPgJcg3zCnsh","https://lcnb6jdql7k2.feishu.cn/docx/I6NLdULx7ozI8jxTPgJcg3zCnsh","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\03 - 《梦境支配者》P0 过场动画脚本与分镜设计.md","ok","ok"
"4","游戏角色设定","DOCX","Cicy Chen(陈储储)","2026-06-06T18:54:46+08:00","IAdkdcpciobUTXxa7dBcRx7Bngf","https://lcnb6jdql7k2.feishu.cn/docx/IAdkdcpciobUTXxa7dBcRx7Bngf","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\04 - 游戏角色设定.md","ok","ok"
"5","《梦境支配者》P0 核心数值系统详细设计 v1.0","DOCX","章航宁","2026-06-04T14:18:16+08:00","LV7Zd5EVlorVzHxHA2WcqZOGnje","https://lcnb6jdql7k2.feishu.cn/docx/LV7Zd5EVlorVzHxHA2WcqZOGnje","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\05 - 《梦境支配者》P0 核心数值系统详细设计 v1.0.md","ok","ok"
"6","《梦境支配者》P0 核心数值系统合理性评估与优化建议","DOCX","章航宁","2026-06-04T13:54:15+08:00","L5tFdydSjoxnyfxKUe8cygjEnRK","https://lcnb6jdql7k2.feishu.cn/docx/L5tFdydSjoxnyfxKUe8cygjEnRK","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\06 - 《梦境支配者》P0 核心数值系统合理性评估与优化建议.md","ok","ok"
"7","2026-06-02 · 梦境支配者状态标签体系 · 设计文档 ","DOCX","Cicy Chen(陈储储)","2026-06-03T20:29:46+08:00","HGBodelYWoUDIkx3q4tcegi9nMR","https://lcnb6jdql7k2.feishu.cn/docx/HGBodelYWoUDIkx3q4tcegi9nMR","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\07 - 2026-06-02 · 梦境支配者状态标签体系 · 设计文档.md","ok","ok"
"8","2026-06-02 · Hades 神明祝福与肉鸽随机系统拆解","DOCX","章航宁","2026-06-02T11:40:46+08:00","RiaFdkRDvoscvkx7qpXc6fRFnRe","https://lcnb6jdql7k2.feishu.cn/docx/RiaFdkRDvoscvkx7qpXc6fRFnRe#doxcn0hD02tpxqUfu2DR9AVoglh","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\08 - 2026-06-02 · Hades 神明祝福与肉鸽随机系统拆解.md","ok","ok"
"9","2026-05-28 · 猫眠所游戏完成基础数字资产清单 · 讨论稿","DOCX","Zehui Duan","2026-06-02T11:05:30+08:00","TDy3daSB1oQUcDx6uZMc2BIsnGf","https://lcnb6jdql7k2.feishu.cn/docx/TDy3daSB1oQUcDx6uZMc2BIsnGf","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\09 - 2026-05-28 · 猫眠所游戏完成基础数字资产清单 · 讨论稿.md","ok","ok"
"10","2026-06-01 · 游戏角色设定 · 角色台词补充稿","DOCX","Zehui Duan","2026-06-01T14:18:18+08:00","YTxNdBZr5oVs90xfMy9c8Q5mnJg","https://lcnb6jdql7k2.feishu.cn/docx/YTxNdBZr5oVs90xfMy9c8Q5mnJg","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\10 - 2026-06-01 · 游戏角色设定 · 角色台词补充稿.md","ok","ok"
"11","影丸/逐影者帧动画设计方案","DOCX","章航宁","2026-06-01T14:10:37+08:00","IzYndiyYfonuyqxJ9nlchv7PnKn","https://lcnb6jdql7k2.feishu.cn/docx/IzYndiyYfonuyqxJ9nlchv7PnKn#doxcnpnR5TbUP4a8s7bhmJei8Pb","D:\Unity Workspace\TheCat\design\梦境支配者核心玩法\markdown\11 - 影丸_逐影者帧动画设计方案.md","ok","ok"
